sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;03.07.2023 05:30;03.07.2023 05:45;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 05:45;03.07.2023 06:00;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 06:00;03.07.2023 06:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 06:15;03.07.2023 06:30;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 06:30;03.07.2023 06:45;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 06:45;03.07.2023 07:00;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 07:00;03.07.2023 07:15;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 07:15;03.07.2023 07:30;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 07:30;03.07.2023 07:45;0,119;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 07:45;03.07.2023 08:00;0,062;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 08:00;03.07.2023 08:15;0,512;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 08:15;03.07.2023 08:30;0,497;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 08:30;03.07.2023 08:45;0,109;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 08:45;03.07.2023 09:00;0,087;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 09:00;03.07.2023 09:15;0,064;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 09:15;03.07.2023 09:30;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 09:30;03.07.2023 09:45;0,038;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 09:45;03.07.2023 10:00;0,081;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 10:00;03.07.2023 10:15;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 10:15;03.07.2023 10:30;0,199;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 10:30;03.07.2023 10:45;0,639;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 10:45;03.07.2023 11:00;0,087;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 11:00;03.07.2023 11:15;0,05;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 11:15;03.07.2023 11:30;0,043;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 11:30;03.07.2023 11:45;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 11:45;03.07.2023 12:00;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 12:00;03.07.2023 12:15;0,042;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 12:15;03.07.2023 12:30;0,054;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 12:30;03.07.2023 12:45;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 12:45;03.07.2023 13:00;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 13:00;03.07.2023 13:15;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 13:15;03.07.2023 13:30;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 13:30;03.07.2023 13:45;0,009;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 13:45;03.07.2023 14:00;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 14:00;03.07.2023 14:15;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 14:15;03.07.2023 14:30;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 14:30;03.07.2023 14:45;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 14:45;03.07.2023 15:00;0,094;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 15:00;03.07.2023 15:15;0,025;KWH;VAL
