Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
03.10.2023 10:45:00;03.10.2023 10:59:59;0;;;
03.10.2023 11:00:00;03.10.2023 11:14:59;0,003;;;
03.10.2023 11:15:00;03.10.2023 11:29:59;0;;;
03.10.2023 11:30:00;03.10.2023 11:44:59;0,001;;;
03.10.2023 11:45:00;03.10.2023 11:59:59;0,004;;;
03.10.2023 12:00:00;03.10.2023 12:14:59;0;;;
03.10.2023 12:15:00;03.10.2023 12:29:59;0;;;
03.10.2023 12:30:00;03.10.2023 12:44:59;0,022;;;
03.10.2023 12:45:00;03.10.2023 12:59:59;0,003;;;
03.10.2023 13:00:00;03.10.2023 13:14:59;0,036;;;
03.10.2023 13:15:00;03.10.2023 13:29:59;0,448;;;
03.10.2023 13:30:00;03.10.2023 13:44:59;0,07;;;
03.10.2023 13:45:00;03.10.2023 13:59:59;0;;;
03.10.2023 14:00:00;03.10.2023 14:14:59;0,001;;;
03.10.2023 14:15:00;03.10.2023 14:29:59;0,004;;;
03.10.2023 14:30:00;03.10.2023 14:44:59;0,001;;;
03.10.2023 14:45:00;03.10.2023 14:59:59;0;;;
03.10.2023 15:00:00;03.10.2023 15:14:59;0,002;;;
03.10.2023 15:15:00;03.10.2023 15:29:59;0;;;
03.10.2023 15:30:00;03.10.2023 15:44:59;0;;;
03.10.2023 15:45:00;03.10.2023 15:59:59;0,007;;;
03.10.2023 16:00:00;03.10.2023 16:14:59;0,017;;;
03.10.2023 16:15:00;03.10.2023 16:29:59;0,026;;;
03.10.2023 16:30:00;03.10.2023 16:44:59;0;;;
03.10.2023 16:45:00;03.10.2023 16:59:59;0,032;;;
03.10.2023 17:00:00;03.10.2023 17:14:59;0,036;;;
03.10.2023 17:15:00;03.10.2023 17:29:59;0,011;;;
03.10.2023 17:30:00;03.10.2023 17:44:59;0,001;;;
03.10.2023 17:45:00;03.10.2023 17:59:59;0;;;
03.10.2023 18:00:00;03.10.2023 18:14:59;0,151;;;
03.10.2023 18:15:00;03.10.2023 18:29:59;0,34;;;
03.10.2023 18:30:00;03.10.2023 18:44:59;0,174;;;
03.10.2023 18:45:00;03.10.2023 18:59:59;0,018;;;
03.10.2023 19:00:00;03.10.2023 19:14:59;0;;;
03.10.2023 19:15:00;03.10.2023 19:29:59;0,002;;;
03.10.2023 19:30:00;03.10.2023 19:44:59;0;;;
03.10.2023 19:45:00;03.10.2023 19:59:59;0,002;;;
